time_tag,f107
2004-10,137.56
2004-11,115.98
2004-12,95.66
2005-01,102.86
2005-02,97.3
2005-03,90.04
2005-04,85.92
2005-05,101.65
2005-06,94.09
2005-07,100.64
2005-08,98.24
2005-09,109.55
2005-10,76.71
2005-11,86.38
2005-12,90.85
2006-01,83.32
2006-02,76.52
2006-03,75.5
2006-04,89.27
2006-05,80.83
2006-06,76.68
2006-07,75.88
2006-08,79.59
2006-09,78.02
2006-10,74.43
2006-11,86.43
2006-12,90.39
2007-01,83.76
2007-02,77.65
2007-03,72.24
2007-04,72.36
2007-05,74.36
2007-06,74.07
2007-07,71.48
2007-08,69.03
2007-09,66.98
2007-10,67.69
2007-11,69.39
2007-12,78.21
2008-01,74.02
2008-02,71.03
2008-03,72.99
2008-04,70.15
2008-05,68.32
2008-06,65.85
2008-07,65.67
2008-08,66.17
2008-09,67.0
2008-10,68.21
2008-11,68.53
2008-12,69.05
2009-01,69.7
2009-02,69.85
2009-03,69.1
2009-04,69.61
2009-05,70.35
2009-06,68.57
2009-07,68.19
2009-08,67.36
2009-09,70.32
2009-10,72.14
2009-11,73.66
2009-12,76.84
2010-01,81.31
2010-02,84.74
2010-03,82.96
2010-04,75.72
2010-05,73.63
2010-06,72.38
2010-07,79.6
2010-08,79.16
2010-09,80.95
2010-10,81.42
2010-11,82.56
2010-12,84.19
2011-01,83.39
2011-02,94.55
2011-03,124.26
2011-04,112.85
2011-05,95.68
2011-06,95.86
2011-07,94.34
2011-08,101.61
2011-09,135.27
2011-10,137.4
2011-11,153.5
2011-12,141.46
2012-01,134.79
2012-02,106.86
2012-03,115.71
2012-04,113.26
2012-05,121.4
2012-06,120.4
2012-07,137.61
2012-08,115.86
2012-09,123.4
2012-10,123.07
2012-11,121.15
2012-12,108.26
2013-01,126.83
2013-02,104.41
2013-03,111.36
2013-04,124.95
2013-05,131.43
2013-06,110.74
2013-07,115.53
2013-08,114.9
2013-09,102.83
2013-10,132.86
2013-11,148.78
2013-12,148.1
2014-01,162.69
2014-02,170.13
2014-03,150.5
2014-04,143.94
2014-05,130.11
2014-06,122.37
2014-07,137.85
2014-08,124.56
2014-09,146.57
2014-10,154.99
2014-11,155.74
2014-12,159.02
2015-01,142.0
2015-02,128.92
2015-03,126.89
2015-04,129.05
2015-05,120.05
2015-06,128.54
2015-07,107.0
2015-08,105.93
2015-09,101.99
2015-10,104.0
2015-11,109.68
2015-12,112.54
2016-01,103.64
2016-02,103.71
2016-03,91.43
2016-04,93.45
2016-05,93.36
2016-06,81.95
2016-07,86.31
2016-08,85.15
2016-09,87.45
2016-10,86.15
2016-11,78.58
2016-12,75.29
2017-01,77.37
2017-02,76.95
2017-03,74.69
2017-04,80.91
2017-05,73.6
2017-06,74.83
2017-07,77.58
2017-08,78.25
2017-09,95.49
2017-10,76.39
2017-11,72.28
2017-12,71.7
2018-01,70.01
2018-02,71.63
2018-03,68.26
2018-04,69.97
2018-05,70.95
2018-06,72.66
2018-07,69.61
2018-08,69.05
2018-09,68.17
2018-10,69.56
2018-11,69.02
2018-12,70.05
2019-01,71.58
2019-02,70.59
2019-03,71.52
2019-04,72.47
2019-05,71.32
2019-06,68.13
2019-07,67.25
2019-08,67.05
2019-09,68.0
2019-10,67.46
2019-11,70.18
2019-12,70.93
2020-01,72.32
2020-02,70.9
2020-03,70.19
2020-04,69.56
2020-05,69.21
2020-06,69.7
2020-07,69.47
2020-08,71.66
2020-09,70.56
2020-10,74.59
2020-11,90.11
2020-12,87.28
2021-01,76.07
2021-02,73.63
2021-03,75.15
2021-04,74.74
2021-05,75.64
2021-06,79.81
2021-07,80.97
2021-08,77.93
2021-09,87.4
2021-10,90.3
2021-11,86.92
2021-12,102.94
2022-01,104.05
2022-02,109.15
2022-03,117.79
2022-04,130.63
2022-05,133.98
2022-06,115.81
2022-07,125.62
2022-08,118.13
2022-09,134.69
2022-10,132.84
2022-11,123.56
2022-12,148.46
2023-01,182.47
2023-02,172.09
2023-03,157.53
2023-04,145.86
2023-05,156.04
2023-06,162.39
2023-07,177.53
2023-08,153.92
2023-09,155.74
2023-10,141.59
2023-11,154.36
2023-12,159.28
2024-01,163.99
2024-02,173.28
2024-03,155.19
2024-04,161.7
2024-05,188.37
2024-06,185.06
2024-07,198.63
2024-08,245.6
2024-09,196.71
2024-10,222.62
2024-11,199.95
2024-12,196.9
2025-01,189.39
2025-02,184.31
2025-03,163.78
2025-04,162.21
2025-05,135.25
2025-06,131.45
2025-07,137.72
2025-08,156.11
2025-09,153.93
2025-10,139.68
2025-11,141.63
2025-12,160.13
2026-01,151.16
2026-02,135.93
2026-03,130.66
2026-04,120.01
